Route,Stop,UTMXN,UTMYE
705,1,4586169.818,671759.8677
705,2,4586145.975,329955.4422
705,3,4585486.964,330978.4846
705,4,4585263.993,332686.5248
705,5,4586875.364,249353.6569
705,6,4584527.301,668995.1255
705,7,4584567.155,670615.6205
705,8,4584610.907,672229.0622
705,9,4583821.098,673193.2246
705,10,4583672.335,674785.0144
705,11,4583084.206,675654.0602
705,12,4582277.911,676608.065
705,13,4582337.1,678118.4965
705,14,4582412.741,679607.5998
705,15,4582500.798,681210.7559
705,16,4582579.551,682871.322
705,17,4581628.915,683647.1893
705,18,4580137.56,683689.1585
705,19,4578576.209,683745.4519
705,20,4576833.411,683802.1484
706,1,4531881.023,252305.3462
706,2,4528229.539,412327.863
706,3,4528209.233,414051.7682
706,4,4528180.769,415715.2013
706,5,4531945.985,248746.9467
706,6,4531931.743,250309.6026
706,7,4531879.121,251921.5377
706,8,4531810.338,253528.6985
706,9,4531755.871,255161.6272
706,10,4531695.621,256700.174
706,11,4531630.196,258293.3581
706,12,4531578.115,259885.5622
706,13,4531467.339,262215.1601
706,14,4531428.634,263128.9051
706,15,4531380.417,264575.0264
706,16,4530561.584,265507.5008
706,17,4528972.326,265448.4881
706,18,4527400.682,265418.1713
706,19,4525669.771,265387.0327
706,20,4524019.28,265331.7479
712,1,4479128.532,710215.0103
712,2,4479087.594,291314.7492
712,3,4477427.921,291268.5022
712,4,4475843.599,291242.7695
712,5,4474236.094,291185.2646
712,6,4474183.767,292804.8819
712,7,4474169.587,293924.3593
712,8,4474163.798,294337.5996
712,9,4474539.589,294340.8269
712,10,4474045.465,298975.1169
712,11,4474013.117,300394.1807
712,12,4473972.63,301991.3897
712,13,4473942.177,303642.6423
712,14,4473911.082,305261.3005
712,15,4473866.774,306831.471
712,16,4473776.793,309991.5651
712,17,4473759.061,311648.7212
712,18,4473711.74,313170.6434
712,19,4473675.022,314875.4202
712,20,4473639.645,316465.5603
713,1,4444899.076,712874.2833
713,2,4442186.559,287055.1454
713,3,4442110.352,288652.6139
713,4,4442154.193,290273.3112
713,5,4442046.784,291885.5373
713,6,4441986.902,293464.9491
713,7,4441938.145,295056.0303
713,8,4442120.035,296550.9275
713,9,4442648.669,298315.1219
713,10,4442617.877,299895.104
713,11,4441032.234,299856.0678
713,12,4440191.351,300149.553
713,13,4440159.668,301425.688
713,14,4440121.331,303037.2304
713,15,4439792.869,304354.0345
713,16,4438890.965,305084.5229
713,17,4438436.664,306268.9656
713,18,4438685.726,307831.2004
713,19,4438442.3,309407.9502
713,20,4439964.866,309449.0575
717,1,4461909.484,662688.1381
717,2,4460602.24,677344.9863
717,3,4459014.103,677377.6503
717,4,4457395.3,677418.115
717,5,4455773.418,677458.6417
717,6,4454157.873,677506.1042
717,7,4452545.248,677546.3938
717,8,4451031.188,677579.624
717,9,4449326.676,677648.0844
717,10,4447692.311,677681.7571
717,11,4446085.645,677712.3978
717,12,4444491.427,677747.4681
717,13,4442857.295,677790.569
717,14,4441250.917,677833.009
717,15,4439653.238,677851.5394
717,16,4438065.271,678938.7499
717,17,4436490.33,679528.2545
717,18,4434883.739,679561.5101
717,19,4433215.652,679603.3211
717,20,4431843.69,679642.8664
718,1,4476928.927,744241.9575
718,2,4476858.174,257480.379
718,3,4476796.688,259099.64
718,4,4476756.406,260587.888
718,5,4476707.726,262174.9649
718,6,4475088.514,262362.9237
718,7,4475026.424,263859.2682
718,8,4474994.885,265454.2749
718,9,4474919.014,267056.3785
718,10,4473327.225,267023.9337
718,11,4473275.978,268620.0519
718,12,4473228.684,270219.1102
718,13,4473176.698,271861.9174
718,14,4473140.942,273469.7922
718,15,4473085.899,275052.9916
718,16,4473042.04,276645.011
718,17,4472995.54,278275.1759
718,18,4472955.568,279884.2735
718,19,4472910.84,281541.3667
718,20,4472860.213,283094.8909
719,1,4462293.148,739311.758
719,2,4462244.648,261808.823
719,3,4462182.253,263435.3979
719,4,4462110.655,265012.0254
719,5,4462082.61,266628.2985
719,6,4463696.01,266679.732
719,7,4465287.385,266724.8251
719,8,4465252.713,268326.0021
719,9,4465210.201,269952.4403
719,10,4463639.146,269910.0699
719,11,4461990.425,269863.9235
719,12,4461952.71,271589.0597
719,13,4461918.776,273078.8257
719,14,4461880.885,274586.8958
719,15,4461830.375,276342.7945
719,16,4461772.368,277864.4227
719,17,4461716.26,279584.6691
719,18,4461673.958,281098.2265
719,19,4461616.178,282645.3636
719,20,4461553.398,284378.147
721,1,4516123,709221
721,2,4514505,709260
721,3,4512907,709311
721,4,4511311,709497
721,5,4511348,710962
721,6,4509871,710594
721,7,4508108,710557
721,8,4504167,710800
721,9,4503319,711163
721,10,4503303,709598
721,11,4503288,707993
721,12,4503274,706407
721,13,4503235,705227
721,14,4503182,703611
721,15,4503128,702019
721,16,4503073,700450
721,17,4503017,698812
721,18,4504626,698772
721,19,4506225,698715
721,20,4506163,697310
722,1,4510757.405,686065.3851
722,2,4510758.861,312334.5707
722,3,4509165.142,313052.1789
722,4,4509124.631,314740.332
722,5,4509103.583,315510.4218
722,6,4509059.897,317199.886
