Year,Cass,GageN,GageS,Jeffersn,JohnsonN,JohnsonS,Lancaster East,Nemaha,OtoeN,OtoeS,Pawnee,Richardn,Saline,Butler,Saunders,Seward,Thayer,Lancaster-Branched Oak,Lancaster_YH
1965,1.31,,2.22,2,1.16,,1.42,3.15,2.3,,4.3,3.8,2.21,1.95,1.05,0.74,2.55,,
1966,1.9,,3.95,3,2.85,,2.7,3.4,2.65,,5.85,3.5,1.65,2.15,1.7,1.05,2.55,,
1967,2.73,,4.55,2.65,2.7,,2.88,3.05,3,,5.2,4.15,2.32,1.89,1.65,1.1,2.05,,
1968,3.4,,3.8,3.7,3.35,,2.85,2.2,2.85,,4.55,1.9,1.85,1.74,2.5,1.5,2.3,,
1969,2.6,,3.7,2.65,2.75,,1.85,5.15,3.7,,4.63,3.9,1.55,1.45,1.45,1.37,1.5,,
1970,2.65,,4.25,2.7,2.65,,2.05,4.5,3.25,,5.45,5.85,1.33,0.68,1.17,1.25,1.85,,
1971,2.35,,3.9,3.5,2.95,,1.95,5.35,2.42,,4.35,4.35,0.95,1.11,1.32,1.1,1.8,,
1972,2.65,,3.45,4.16,2.2,,2.68,5.25,2.1,,3.4,5.35,1.58,2.05,2,2.06,1.6,,
1973,2.05,,3.3,4.55,2.9,,1.95,3.8,2.35,,3.05,3.5,2.25,1.22,1.42,2.85,1.5,,
1974,1.05,,2.9,3.55,2.25,,2.31,2.3,2.9,,3.75,3.15,2.85,0.79,0.47,1.3,2,,
1975,1.81,,2.9,2.05,1.15,,1.2,3,1.35,,2.15,2.1,1.65,0.32,0.26,1.4,2.35,,
1976,1.44,,2.55,2.65,1.5,,1.79,3.3,1.25,,2.1,3.55,2,0.65,0.7,1.9,2.15,,
1977,2.61,2.5,2.7,2.21,2.24,2.05,1.94,2.9,1.2,2,3.3,2.9,1.9,1.7,2.5,2.58,1.53,,
1978,2.65,4.1,2.65,3.95,3.45,2.7,1.6,1.95,2.1,2.3,2.8,0.9,2.25,1.1,1.44,2.84,3.3,,
1979,2.78,5.25,3.35,3,3.59,2.94,1.69,3.19,3.56,4.12,2.35,3,2.4,1,3.15,2.11,2.35,,
1980,2.3,4.6,3.95,4.05,2,2.16,2.06,1.44,2.75,2.17,3.2,3.06,2.1,0.9,2.47,3.2,4.65,,
1981,2.16,4.21,4.32,4.35,2.61,3.4,3.06,1.83,3.12,3.1,4.33,2.76,2.85,1.45,2.44,2.4,4.35,,
1982,1.53,4.35,4.55,3.6,2.7,3.28,2.07,1.33,2.21,1.1,3.85,1.35,2.25,0.95,1.56,2.74,3.75,,
1983,1.5,4.55,2.2,3.16,2.3,2.06,2.71,1.88,2.1,1.15,5.5,3.07,1.67,1.05,2.13,1.9,3.53,,
1984,1.38,0.5,1.89,0.68,0.47,0.79,0.63,0.72,1.11,0.56,2.5,0.78,0.7,0.3,0.94,0.35,1.39,,
1985,1.47,1.2,2.42,2.86,1.53,1.58,2.12,1.89,0.5,0.45,3.15,1.78,2.35,0.15,2.64,1.05,0.78,,
1986,3.71,0.65,4.45,1.79,2.21,1.75,2.87,2.6,1.55,1.45,5.55,2.85,2.33,0.35,1.06,1.53,5.07,,
1987,3.21,2.5,6.16,3.53,4.1,3.05,3.28,4.21,3.3,2.8,5.9,4.89,1.8,1.69,2.54,1.85,3,,
1988,3.38,3.16,5.5,2.53,4.6,4.45,4.25,5.58,3.75,2.9,7.1,6.17,2.68,2,2.8,2.53,3.5,,
1989,3.56,2.3,6.53,2.5,4.55,4.75,4,5.58,4.15,2.95,5.05,6.94,2.63,3.17,3,2.55,3.33,,
1990,4.79,3.89,5.95,2.4,4.63,3.06,3.73,4.85,3.35,1.9,6.79,5.39,2.82,2.23,3.13,2.5,2.82,,
1991,3.43,3.5,1.6,3,6,3.5,4.5,6.56,2.45,1.7,3.89,6.22,2.68,2.36,1.29,3,2.63,,
1992,1.73,2.5,3.75,2.28,5.16,2.89,4.25,8.4,2.05,1.25,3.4,6.58,2.32,2,1.53,3.83,1.82,,
1993,3.36,3.05,2.35,2.16,5.1,3.15,5.07,3.5,2.9,1.69,5.21,3.89,2.1,1.17,1.63,3.64,0.56,,
1994,2.06,2.7,2.95,3.05,4.47,2.65,6.81,4.53,2.11,2.69,5.95,3.5,3.2,0.6,0.73,3.45,1.38,,
1995,1.56,1.71,2.21,2.44,3.21,2.74,4.33,2.61,2.85,1.59,4.85,4.42,1.9,0.71,1.11,3.68,1.2,,
1996,1.63,1.85,1.11,2.6,1.65,1.55,2.29,1.63,1.94,0.44,2.2,5.25,0.95,0.88,0.78,2.45,0.75,,
1997,1.8,0.56,1.32,1.6,1.7,1.9,2.77,1.65,1.2,0.89,1.75,5.55,,0.88,1.89,2.4,1.15,,
1998,0.5,0.44,1,1.68,1.55,1.25,1.36,1.37,0.6,0.94,2.11,3.6,1.39,1.06,1.13,2.65,2.58,,
1999,0.55,1.17,1.05,2.47,1.76,1.1,0.75,0.89,0.85,0.45,2.2,4.58,2,1.18,1.05,2.15,1.7,,
2000,1.51,0.71,1.3,2.37,2.11,2.45,1.06,0.69,1.4,0.84,1.95,5.55,2.4,2,1.38,2.9,2.65,,
