Year,Patch,Name,East,North,adros,blbi,brtb,crhe,easb,gowh,grcu,grft,grst,rewb,scro,silv,stpd,sttb,sufw,wbsw,wttc,yfhe,ytbco
1,9,Deep Creek CP,248890,6056810,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1
1,8,Hindmarsh Falls,280610,6075210,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0
1,7,HazKett Rd,281000,6080830,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0
1,6,Belair CP,287800,6123350,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0
1,5,Cleland,289910,6125790,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
1,4,Morialta CP,291970,6135310,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0
1,34,Loftia RP,290590,6120920,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
1,33,Horsnell's Gully CP,292590,6131690,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0
1,32,Nth Mt Magnificent,292300,6093340,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1
1,31,Stone Reserve,292660,6120960,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0
1,30,Rangeview Rd,295190,6127690,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0
1,3,Norris Hil,295410,6121500,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0
1,29,1282 Greenhill Rd,295820,6128380,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0
1,28,Chapel Hill Diggings,296270,6115510,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,27,Mylor CP,296300,6119960,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
1,26,Wotton Scrub,297040,6125870,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1,25,Filsell Hill,298710,6130110,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
1,24,Wicks Reserve,300320,6131930,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0
1,23,Willis Rd,303274,6109260,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0
1,22,Waterfall Creek,257390,6063510,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1
1,21,Springs Rd,253760,6062860,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1
1,20,Range Rd,252790,6059980,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
1,2,Mylor Parklands,295350,6120100,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0
1,19,Hender Reserve,291200,6122490,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0
1,18,Kanangra,277690,6073100,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1
1,17,Scott Ck CP,287450,6115320,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0
1,16,Totness RP,302210,6118150,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
1,15,Mt George CP,294970,6124740,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0
1,14,Lenswood Recreation Park,301320,6133660,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1
1,13,Twin Oaks,276600,6076140,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1
1,12,Stock Rd,293340,6119760,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0
1,11,Hindmarsh Tiers Rd,275000,6079300,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0
1,10,Kyeema CP,290600,6094500,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1
1,1,Spring Mt CP East,276320,6074060,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1
0,9,Deep Creek CP,248890,6056810,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
0,8,Hindmarsh Falls,280610,6075210,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0
0,7,HazKett Rd,281000,6080830,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
0,6,Belair CP,287800,6123350,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0
0,5,Cleland,289910,6125790,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
0,4,Morialta CP,291970,6135310,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1
0,34,Loftia RP,290590,6120920,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0
0,33,Horsnell's Gully CP,292590,6131690,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0
0,32,Nth Mt Magnificent,292300,6093340,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0
0,31,Stone Reserve,292660,6120960,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0
0,30,Rangeview Rd,295190,6127690,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0
0,3,Norris Hil,295410,6121500,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
0,29,1282 Greenhill Rd,295820,6128380,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0
0,28,Chapel Hill Diggings,296270,6115510,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0
0,27,Mylor CP,296300,6119960,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0
0,26,Wotton Scrub,297040,6125870,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,25,Filsell Hill,298710,6130110,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
