Name,Patch,TLA2K,NumP2K,MPS2K,PSSD2K,TE2K,MNN2K,LPI2K,LSI2K,MRF,PA,PP,TLA10K,NumP10K,MPS10K,PSSD10K,TE10K,MNN10K,LPI10K,LSI10K,TLA5K,NumP5K,MPS5K,PSSD5K,TE5K,MNN5K,LPI5K,LSI5K
Deep Creek CP,9,182.25,5,36.45,39.21,20000,313.3,55.28,3.7,822,26965587.01,56263.82774,3530.25,136,25.96,74.74,353100,237.3,15.94,14.86,1310,23,56.96,90.87,105800,256.2,24.87,7.31
Hindmarsh Falls,8,530.75,24,22.11,75.13,56600,97.4,71.6,6.14,801,355564.0625,4275.125674,9991,227,44.01,303,715800,131.8,41.96,17.9,4009,82,48.89,226.56,271700,92.6,43.5,10.73
HazKett Rd,7,570.75,20,28.54,101.52,55400,99.6,82.22,5.8,911,859169.1484,8115.169088,9999.5,238,42.01,222.26,803100,149.7,25.65,20.08,2974.25,98,30.35,122.04,290400,118.4,36.33,13.31
Belair CP,6,996.75,5,199.35,385.78,37000,64.1,97.39,2.93,1086,16275534.18,54587.89076,8866.25,186,47.67,328.54,583000,119.5,47.21,15.48,4021.25,31,129.72,545.83,185800,93.5,74.79,7.32
Cleland,5,798.75,5,159.75,237.34,46200,64.1,79.03,4.09,1115,13153700.36,39057.86099,9537,246,38.77,171.88,799300,114.6,18.11,20.46,3211.25,77,41.7,177.33,254700,121.3,41.61,11.24
Morialta CP,4,778,18,43.22,157.99,46500,88.2,89.2,4.17,975,41722277.67,116542.0991,8893.5,208,42.76,189.5,715200,119.1,19.44,18.96,3609.5,56,64.46,246.35,233800,137.9,45.34,9.73
Loftia RP,34,372.5,9,41.39,68.82,28300,255.2,59.8,3.67,1097,4066952.266,21408.58476,3754.5,129,29.1,67.98,412100,256.1,13.92,16.81,1582,38,41.63,97.57,146000,210.5,32.74,9.18
Horsnell's Gully CP,33,334.75,5,66.95,74.46,23100,113.9,62.43,3.16,1034,10127053.8,36156.15012,3570,151,23.64,67.92,368000,219.1,15.81,15.4,1203.25,22,54.69,90.19,95800,210.3,27.11,6.9
Nth Mt Magnificent,32,201,8,25.12,26.07,22800,308.9,34.95,4.02,939,1003766.164,7598.191515,3687.75,144,25.61,62.77,413500,242,14.09,17.02,990.5,39,25.4,52.47,125300,215.4,22.16,9.95
Stone Reserve,31,285.5,23,12.41,18.55,43500,151.4,24.78,6.44,1128,118083.5859,1496.294579,9607.5,252,38.12,218.94,781700,155.4,29.18,19.94,2346.25,96,24.44,97.27,248800,158.6,34.86,12.84
